STT,Khoản mục BCTC,Báo cáo,"Giải thích, ý nghĩa, ví dụ",Phương thức kiểm tra / điều kiện đảm bảo,Mẫu kiểm toán,Bằng chứng,Loại sai sót cơ bản / thường gặp / nâng cao,Cách khắc phục,Mức độ (Trọng yếu/Không trọng yếu)
1,Tiền (Mã 111),B01 – BCĐKT (TS ngắn hạn),"Thanh khoản tức thời: tiền mặt, TGNH KKOH, tiền đang chuyển. VD: quỹ TM; TK VCB VND/USD.","Đối chiếu 3 chiều; xác nhận 100% NH; kiểm quỹ bất ngờ; đánh giá lại NT; cut-off UNC; assertions: Hiện hữu, Quyền, Đầy đủ, Đánh giá, Trình bày.",100% TKNH; toàn bộ quỹ TM trọng yếu; bút toán lớn gần khóa sổ.,Thư xác nhận NH; sao kê; BB kiểm quỹ; UNC; bảng tỷ giá.,"Cơ bản: sai cộng/nhầm quỹ. Thường gặp: không ĐG lại NT; tiền phong tỏa vẫn để trong Tiền. Nâng cao: kiting, lapping, sao kê giả, chiếm dụng.",Điều chỉnh số dư/tỷ giá; tách hạn chế SD; ghi thiếu hụt; thông báo Ban QT nếu gian lận.,TW-Cao + Định tính
2,Các khoản tương đương tiền (Mã 112),B01 – BCĐKT,"Đầu tư ≤3 tháng từ ngày mua, dễ chuyển tiền, rủi ro giá trị không đáng kể. VD: TGCK 1 tháng.",Kiểm HĐ/kỳ hạn; đúng định nghĩa VAS; không gộp TGCK 6–12 tháng.,100% khoản xếp vào 112.,HĐ tiền gửi; xác nhận NH; lịch đáo hạn.,Cơ bản: nhầm TK. Thường gặp: xếp TGCK >3 tháng vào 112. Nâng cao: cố ý làm đẹp thanh khoản.,Chuyển 123/255; thuyết minh lại.,TW-Cao (phân loại)
3,Chứng khoán kinh doanh (Mã 121),B01 – BCĐKT,CK nắm giữ bán lãi ngắn hạn. VD: CP niêm yết.,Xác nhận lưu ký/CTCK; quyền sở hữu; định giá TT; khớp lãi/lỗ 515/635.,100% nếu ít mã; mẫu theo GT nếu danh mục lớn.,Sao kê custodial; bảng giá TT; HĐ mua bán.,Cơ bản: sai SL. Thường gặp: giá nội bộ. Nâng cao: CK không thuộc sở hữu; thao túng giá bên liên quan.,Điều chỉnh SL/giá; bổ sung DP 122.,TW-TB
4,Dự phòng giảm giá CKKD (Mã 122),B01 – BCĐKT,Điều chỉnh 121 về giá thấp hơn TT (ghi âm).,"Tính lại max(0, gốc−TT); đối chiếu chính sách.",100% mã giá giảm.,Bảng tính DP; giá TT.,Cơ bản: sai CT. Thường gặp: không trích. Nâng cao: bỏ DP để tăng LN.,Bổ sung DP; tăng CP TC.,TW-TB
5,Đầu tư HTM ngắn hạn (Mã 123),B01 – BCĐKT,TGCK/TP kỳ hạn còn lại ≤12 tháng (không gồm TĐT). VD: TGCK 9 tháng.,Ý định & khả năng nắm giữ đến ĐH; HĐ; xác nhận NH; lãi dự thu; PL NH/DH.,100% hoặc key items >PM.,HĐ; xác nhận NH; lịch ĐH.,Cơ bản: nhầm kỳ hạn. Thường gặp: nhầm 112↔123. Nâng cao: taint HTM.,Phân loại lại; TM.,TW-TB
6,Phải thu ngắn hạn của KH (Mã 131),B01 – BCĐKT,Quyền thu từ bán hàng/DV đã ghi DT. VD: công nợ NPP. Liên kết chất lượng DT.,Aging; thư xác nhận; subsequent collection; vouching HĐ+xuất kho+BBNT; DP; cut-off với DT.,Key items; quá hạn & bên LQ 100%; mẫu MUS phần còn lại.,Thư XN; UNC thu sau kỳ; HĐ; vận đơn; BBNT.,Cơ bản: sai đối tượng. Thường gặp: thiếu DP; công nợ âm. Nâng cao: PT từ DT giả; bill-and-hold; channel stuffing; round-tripping.,Giảm PT/DT; bổ sung DP; TM cầm cố PT.,TW-Cao
7,Trả trước cho người bán NH (Mã 132),B01 – BCĐKT,Đã trả tiền chưa nhận HH/DV. VD: ứng trước máy nhập khẩu.,HĐ; tiến độ; BB nhận sau kỳ; XN NCC; khả năng thu hồi.,100% lớn/treo >6–12 tháng; mẫu còn lại.,HĐ; UNC chi; BB giao hàng; thư NCC.,Cơ bản: sai NH/DH. Thường gặp: đã nhận hàng vẫn treo. Nâng cao: ứng công ty ma/bên LQ rút tiền.,Kết chuyển tồn/TSCĐ/CP hoặc PT khác; lập DP.,TW-TB + Định tính nếu bên LQ
8,Phải thu nội bộ NH (Mã 133),B01 – BCĐKT,Thanh toán nội bộ cấp trên–phụ thuộc (ngoài giao vốn).,Đối chiếu 2 chiều; bù trừ khi BCTC tổng hợp.,100% đối chiếu nội bộ.,Bảng ĐC nội bộ; sổ 136.,Cơ bản: lệch 2 bên. Thường gặp: không bù trừ → thổi TS&nợ. Nâng cao: che GD ngoài bằng nội bộ.,Bù trừ; ĐC BCTC tổng hợp.,TW-TB (khi tổng hợp)
9,Phải thu theo tiến độ HĐXD (Mã 134),B01 – BCĐKT,DT theo tiến độ > số đã xuất HĐ. VD: nhà thầu XD.,% hoàn thành; BB khối lượng; tính lại DT VAS 15; HĐ.,100% HĐ >PM; mẫu còn lại.,HĐXD; BB khối lượng; hồ sơ KT; bảng tính DT.,Cơ bản: sai số học. Thường gặp: % HT lạc quan. Nâng cao: đẩy tiến độ ảo.,ĐC DT & PT; cập nhật TM.,TW-Cao
10,Phải thu về cho vay NH (Mã 135),B01 – BCĐKT,Cho vay theo khế ước ≤12 tháng.,Khế ước; XN bên vay; TSĐB; lãi dự thu; thu hồi; TM bên LQ.,100% nếu ít; key items.,HĐ vay; XN; TSĐB; UNC lãi.,"Cơ bản: quên lãi. Thường gặp: không tách NH/DH. Nâng cao: vay bên LQ lãi phi TT, không công bố.",Ghi lãi/DP; bổ sung TM.,TW-TB + Định tính
11,Phải thu ngắn hạn khác (Mã 136),B01 – BCĐKT,"Tạm ứng, ký quỹ NH, chi hộ, PT lãi…",Chi tiết tiểu khoản; tạm ứng quá hạn; XN ký quỹ.,100% tạm ứng lớn/quá hạn; mẫu còn lại.,Giấy tạm ứng; quyết toán; HĐ ký quỹ.,Cơ bản: nhầm TK. Thường gặp: tạm ứng treo nhiều năm. Nâng cao: che CP cá nhân/rút tiền.,Quyết toán/thu hồi; chuyển CP; DP.,TW-TB
12,Dự phòng phải thu NH khó đòi (Mã 137),B01 – BCĐKT,Giảm PT về mức có thể thu hồi (ghi âm).,TT48/chính sách; aging; back-test; kiện tụng/phá sản.,100% nhóm quá hạn trọng yếu.,Aging; QĐ trích DP; hồ sơ khởi kiện.,Cơ bản: sai nhóm tuổi. Thường gặp: trích thiếu. Nâng cao: dưới DP tăng LN; big bath.,Bổ sung/hoàn nhập DP có căn cứ.,TW-Cao (judgmental)
13,Hàng tồn kho (Mã 141),B01 – BCĐKT,"NVL, CCDC, TP, HH, SXDD ngắn hạn… VD: TP trong kho.",Chứng kiến kiểm kê VSA 501; test count; giá gốc; NRV; cut-off; hàng giữ hộ/gửi bán.,Kiểm kê HT; mẫu MH lớn/chậm LT; mẫu phiếu xuất; cut-off ±5–7 ngày.,BB kiểm kê; phiếu đếm KTV; HĐ mua; giá thành; giá bán.,Cơ bản: sai ĐVT. Thường gặp: không loại hàng giữ hộ; thiếu DP. Nâng cao: thổi SL/giá thành; không xuất kho tương ứng DT.,ĐC SL/GT; bổ sung DP 149; chỉnh GV/DT.,TW-Cao
14,Dự phòng giảm giá HTK (Mã 149),B01 – BCĐKT,Đưa tồn về NRV khi NRV < giá gốc.,Giá gốc vs giá bán thuần−CP bán; hàng lỗi thời.,100% nhóm rủi ro; mẫu SKU lớn.,Bảng NRV; giá bán; HĐ bán sau kỳ.,Cơ bản: sai NRV. Thường gặp: không trích hàng cũ. Nâng cao: bỏ DP giữ biên gộp.,Bổ sung DP; tăng GV/CP.,TW-Cao
15,Chi phí trả trước NH (Mã 151),B01 – BCĐKT,Trả trước HH/DV ≤12 tháng; CCDC phân bổ ngắn. VD: thuê kho trả trước 6 tháng.,Chứng từ; lịch phân bổ; không đậu CP thuần túy.,Key items; 100% PS lớn cuối kỳ.,HĐ; HĐ; bảng phân bổ.,Cơ bản: sai kỳ PB. Thường gặp: PB chậm. Nâng cao: parking CP tăng LN.,Chuyển CP đúng kỳ.,TW-TB
16,Thuế GTGT được khấu trừ (Mã 152),B01 – BCĐKT,Thuế đầu vào còn được khấu trừ.,ĐC tờ khai GTGT; HĐ hợp lệ; rủi ro HĐ rasch.,Mẫu HĐ đầu vào lớn; ĐC 100% tờ khai nếu R cao.,Tờ khai; HĐĐT; BB thanh tra thuế.,Cơ bản: sai kỳ KK. Thường gặp: khấu trừ HĐ không hợp lệ. Nâng cao: mua HĐ khống.,Loại số không hợp lệ; tăng thuế/CP.,TW-TB + Định tính
17,Thuế & khoản khác phải thu NSNN (Mã 153),B01 – BCĐKT,"Thuế nộp thừa, chờ hoàn.",Quyết toán; hồ sơ hoàn thuế; khả năng thu hồi.,100% khoản TW.,Giấy nộp thuế; QĐ hoàn thuế.,Cơ bản: nhầm PT/phải nộp. Thường gặp: ghi hoàn chưa chắc chắn. Nâng cao: thổi phải thu NSNN.,ĐC theo XN CQT; TM.,TW-Thấp đến TB
18,Giao dịch mua bán lại TPCP (Mã 154),B01 – BCĐKT,Repo TPCP phía tài sản.,Đọc HĐ repo; đúng bản chất.,100% GD.,HĐ repo; XN; chứng từ TT.,Cơ bản: hạch toán nhầm. Thường gặp: sai bản chất vay/mua. Nâng cao: che đòn bẩy.,PL lại TS/nợ; TM.,TW-TB (nếu có)
19,TS ngắn hạn khác (Mã 155),B01 – BCĐKT,TS ngắn hạn ngoài chỉ tiêu trên.,Bản chất KT; khả năng thu hồi ≤12 tháng.,100% nếu SD đáng kể.,Chứng từ gốc; giải trình.,Cơ bản: túi chứa không giải thích. Thường gặp: CP/TS không PL. Nâng cao: che khoản không thu hồi.,Tái PL hoặc chuyển CP/DP.,TW-Thấp (trừ số lớn)
20,Phải thu dài hạn của KH (Mã 211),B01 – TS dài hạn,PT kỳ hạn thu hồi >12 tháng. VD: bán trả chậm.,Như 131 + lịch thu; chiết khấu nếu trọng yếu; tái PL phần ≤12 tháng →131.,Key items / 100% nếu ít.,HĐ trả chậm; XN; lịch thu.,Cơ bản: không tách đến hạn. Thường gặp: không chiết khấu. Nâng cao: xếp DH dù khách yếu.,Tái PL; DP; ĐC giá trị.,TW-TB
21,Trả trước NCC dài hạn (Mã 212),B01 – TS dài hạn,Ứng trước thời hạn >12 tháng.,HĐ dài hạn; tiến độ; khả năng nhận hàng/thu hồi.,100% khoản lớn.,HĐ; chứng từ chi; báo cáo tiến độ.,Như 132; rủi ro dự án treo.,Kết chuyển/DP/TM.,TW-TB
22,Vốn KD ở đơn vị trực thuộc (Mã 213),B01 (cấp trên),Vốn giao đơn vị phụ thuộc; tổng hợp phải bù trừ.,ĐC với 334/411 đơn vị dưới; bù trừ tổng hợp.,100%.,QĐ giao vốn; sổ 1361; BCTC đơn vị dưới.,Thường gặp/nâng cao: không bù trừ → thổi TS.,Bù trừ đúng TT200.,TW-TB
23,TSCĐ hữu hình (221=222+223),B01 – TS dài hạn,"TSHH dùng >1 năm; GTCL. VD: nhà xưởng, dây chuyền.",Sổ chi tiết↔sổ cái; hiện vật; vouching mua; vốn hóa vs SC; tính lại KH; thanh lý; thế chấp; impairment.,Key assets; 100% mua/bán TW trong kỳ; mẫu tính KH; quan sát HT.,HĐ mua; BBNT; thẻ TSCĐ; bảng KH; BB thanh lý.,Cơ bản: sai nguyên giá. Thường gặp: vốn hóa SC thường xuyên; KH sai. Nâng cao: TSCĐ khống; kéo dài thời gian KH.,ĐC NG/KH/CP; loại TS không hiện hữu; TM thế chấp.,TW-Cao
24,TSCĐ thuê tài chính (224–226),B01 – TS dài hạn,Thuê chuyển phần lớn rủi ro/lợi ích.,Phân biệt thuê TC vs HĐ; ghi nhận nợ thuê; KH đúng.,100% HĐ thuê TW.,HĐ thuê; lịch TT; sổ 212/341.,Thường gặp: xếp nhầm. Nâng cao: ngoài bảng giảm nợ.,Ghi nhận đúng bản chất; TM.,TW-TB
25,TSCĐ vô hình (227–229),B01 – TS dài hạn,"Quyền SD đất, phần mềm, patent…",Quyền sở hữu; ĐK vốn hóa; phân bổ; không vốn hóa R&D thuần túy nếu thiếu ĐK.,100% khoản lớn/mới.,GCN; HĐ; bảng phân bổ.,Thường gặp: vốn hóa CP thiếu ĐK. Nâng cao: thổi giá nội bộ.,Chuyển CP; ĐC phân bổ.,TW-TB
26,Bất động sản đầu tư (230–232),B01 – TS dài hạn,BĐS cho thuê hoặc chờ tăng giá.,Quyền SH; tách vs TSCĐ tự dùng/hàng BĐS; KH phần cho thuê; suy giảm.,100% hoặc theo dự án.,Sổ đỏ; HĐ thuê; BB định giá.,Thường gặp: PL sai để đổi KH. Nâng cao: thổi giá/che BĐS ứ đọng.,Tái PL; DP/suy giảm; TM.,TW-TB đến Cao
27,CPSXKD dở dang dài hạn (Mã 241),B01 – TS dài hạn,SXDD vượt chu kỳ KD (vd. dự án BĐS chậm).,Tiến độ thực tế; khả năng HT; NRV/DP; không che lỗ.,100% dự án TW.,Hồ sơ dự án; GPXD; tiến độ; giá thành.,Thường gặp: không DP dự án treo. Nâng cao: vốn hóa CP kỳ vào dở dang.,DP hoặc chuyển CP; TM rủi ro.,TW-Cao
28,Chi phí XDCB dở dang (Mã 242),B01 – TS dài hạn,Mua sắm/XDCB/SC lớn dở dang.,Hồ sơ ĐT; nghiệm thu; lãi vay vốn hóa đúng; không treo mãi.,100% công trình lớn; mẫu chứng từ chi.,QĐ ĐT; HĐ thầu; BBNT; bảng vốn hóa lãi.,Thường gặp: vốn hóa lãi sai; chậm QT. Nâng cao: đậu CP vận hành vào XDCB.,Chuyển TSCĐ hoặc CP; ĐC lãi VH.,TW-Cao
29,Đầu tư CT con/LD-LK/góp vốn (251–253),B01 – TS dài hạn,Đầu tư VCSH dài hạn theo mức kiểm soát/ảnh hưởng.,Tỷ lệ SH; quyền KS; giá gốc; BCTC bên nhận; bên LQ.,100% khoản TW.,ĐKDN bên nhận; HĐ góp vốn; BCTC; BB ĐHĐCĐ.,Thường gặp: PL sai con/LK. Nâng cao: góp vốn thổi giá; không công bố quan hệ.,ĐC PL/giá; TM; xét hợp nhất.,TW-Cao
30,Dự phòng đầu tư TCDH (Mã 254),B01 – TS dài hạn,Tổn thất do bên nhận ĐT lỗ/mất vốn.,ĐC LN/VCSH bên nhận; tính DP; back-test.,100% khoản lỗ.,BCTC bên nhận; bảng tính DP.,Thường gặp: không trích khi CT con lỗ. Nâng cao: bỏ DP giữ LN/TS.,Bổ sung DP; tăng CP.,TW-Cao
31,Đầu tư HTM dài hạn (Mã 255),B01 – TS dài hạn,TGCK/TP kỳ hạn còn lại >12 tháng.,HĐ; khả năng nắm giữ; lãi; tách vs cho vay 215.,Key items/100%.,HĐ; xác nhận NH.,Nhầm NH/DH; nhầm TĐT.,Tái PL; ĐC TM.,TW-TB
32,Chi phí trả trước dài hạn (Mã 261),B01 – TS dài hạn,Trả trước >12 tháng; CCDC; lợi thế chờ PB…,Bản chất TS; lịch PB; rủi ro parking CP.,Key items; PS mới trong kỳ.,HĐ; bảng PB; hồ sơ lợi thế.,Thường gặp: PB quá chậm. Nâng cao: đậu CP lớn vào 261.,Đẩy CP đúng mức; ĐC LN.,TW-TB
33,Tài sản thuế TNDN hoãn lại (Mã 262),B01 – TS dài hạn,Lợi ích thuế từ CL tạm thời được khấu trừ.,XĐ CL tạm thời; thuế suất; bằng chứng LN chịu thuế tương lai; bù trừ DTL khi đủ ĐK.,100% bảng tạm thời.,Tax bridge; tờ khai; kế hoạch LN.,Thường gặp: ghi DTA khi lỗ liên tục thiếu căn cứ. Nâng cao: DTA tạo LN ảo.,Không ghi/nhập DTA thiếu căn cứ.,TW-Cao (judgmental)
